name,position,event_attendance,meeting_attendance,duty_participation,submitted_works,competition_participation,chat_activity,activity_status
Member_386,Staff,9/10,9/10,9/10,26,4,Very Active,Active
Member_387,Chair,4/10,3/10,4/10,3,0,Inactive,Rarely Active
Member_388,Department Head,3/10,2/10,3/10,3,1,Rarely Active,Rarely Active
Member_389,Staff,10/10,10/10,10/10,33,11,Very Active,Very Active
Member_390,Secretary,10/10,10/10,10/10,32,20,Very Active,Very Active
Member_391,Vice Division Head,8/10,8/10,8/10,25,4,Active,Active
Member_392,Staff,8/10,8/10,9/10,19,3,Very Active,Active
Member_393,Vice Chair,4/10,3/10,4/10,5,1,Inactive,Rarely Active
Member_394,Vice Division Head,5/10,6/10,8/10,6,2,Active,Moderate
Member_395,Deputy Department Head,10/10,10/10,10/10,38,18,Very Active,Very Active
Member_396,Staff,10/10,10/10,10/10,46,15,Very Active,Very Active
Member_397,Staff,7/10,8/10,4/10,6,3,Active,Moderate
Member_398,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_399,Treasurer,8/10,9/10,9/10,30,10,Active,Active
Member_400,Division Head,3/10,4/10,3/10,4,1,Inactive,Rarely Active
Member_401,Supervisor,5/10,4/10,7/10,8,1,Rarely Active,Moderate
Member_402,Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_403,Deputy Department Head,5/10,6/10,7/10,12,3,Active,Moderate
Member_404,Staff,10/10,10/10,10/10,50,14,Very Active,Very Active
Member_405,Staff,10/10,10/10,10/10,51,16,Very Active,Very Active
Member_406,Vice Chair,10/10,10/10,10/10,58,10,Very Active,Very Active
Member_407,Supervisor,10/10,10/10,10/10,47,16,Very Active,Very Active
Member_408,Vice Chair,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_409,Staff,8/10,9/10,8/10,28,5,Very Active,Active
Member_410,Deputy Department Head,6/10,5/10,6/10,12,2,Active,Moderate
Member_411,Supervisor,6/10,7/10,7/10,14,2,Moderate,Moderate
Member_412,Department Head,1/10,1/10,3/10,1,0,Inactive,Rarely Active
Member_413,Staff,9/10,8/10,9/10,15,10,Very Active,Active
Member_414,Vice Division Head,2/10,4/10,3/10,2,1,Inactive,Rarely Active
Member_415,Vice Chair,10/10,10/10,10/10,57,13,Very Active,Very Active
Member_416,Staff,10/10,10/10,10/10,55,18,Very Active,Very Active
Member_417,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_418,Staff,5/10,6/10,6/10,15,3,Rarely Active,Moderate
Member_419,Secretary,10/10,10/10,10/10,44,14,Very Active,Very Active
Member_420,Staff,9/10,9/10,8/10,19,4,Very Active,Active
Member_421,Staff,8/10,9/10,9/10,26,5,Very Active,Active
Member_422,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_423,Vice Division Head,4/10,1/10,4/10,1,1,Rarely Active,Rarely Active
Member_424,Staff,5/10,6/10,7/10,13,1,Rarely Active,Moderate
Member_425,Deputy Department Head,10/10,10/10,10/10,54,15,Very Active,Very Active
Member_426,Supervisor,8/10,9/10,9/10,18,8,Active,Active
Member_427,Staff,10/10,10/10,10/10,54,18,Very Active,Very Active
Member_428,Staff,10/10,10/10,10/10,42,12,Very Active,Very Active
Member_429,Secretary,1/10,2/10,1/10,1,0,Inactive,Rarely Active
Member_430,Staff,10/10,10/10,10/10,45,19,Very Active,Very Active
Member_431,Staff,10/10,10/10,10/10,60,14,Very Active,Very Active
Member_432,Chair,10/10,10/10,10/10,50,15,Very Active,Very Active
Member_433,Division Head,4/10,4/10,6/10,5,2,Moderate,Moderate
Member_434,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_435,Deputy Department Head,4/10,1/10,3/10,1,1,Inactive,Rarely Active
Member_436,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_437,Chair,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_438,Department Head,9/10,9/10,9/10,17,4,Very Active,Active
Member_439,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_440,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_441,Supervisor,4/10,3/10,1/10,1,1,Rarely Active,Rarely Active
Member_442,Staff,9/10,8/10,9/10,28,4,Very Active,Active
Member_443,Treasurer,10/10,10/10,10/10,58,14,Very Active,Very Active
Member_444,Department Head,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_445,Treasurer,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_446,Staff,10/10,10/10,10/10,59,15,Very Active,Very Active
Member_447,Supervisor,10/10,10/10,10/10,37,19,Very Active,Very Active
Member_448,Supervisor,5/10,5/10,6/10,5,2,Rarely Active,Moderate
Member_449,Staff,9/10,8/10,8/10,16,5,Active,Active
Member_450,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_451,Vice Division Head,7/10,7/10,6/10,6,1,Moderate,Moderate
Member_452,Vice Division Head,10/10,10/10,10/10,46,14,Very Active,Very Active
Member_453,Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_454,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_455,Department Head,10/10,10/10,10/10,30,13,Very Active,Very Active
Member_456,Secretary,10/10,10/10,10/10,45,16,Very Active,Very Active
Member_457,Staff,4/10,5/10,8/10,6,2,Rarely Active,Moderate
Member_458,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_459,Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_460,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_461,Deputy Department Head,10/10,10/10,10/10,55,19,Very Active,Very Active
Member_462,Staff,1/10,2/10,2/10,3,1,Rarely Active,Rarely Active
Member_463,Staff,7/10,5/10,4/10,6,2,Active,Moderate
Member_464,Staff,9/10,8/10,10/10,27,4,Active,Active
Member_465,Supervisor,2/10,4/10,2/10,2,0,Rarely Active,Rarely Active
Member_466,Supervisor,1/10,3/10,4/10,5,1,Inactive,Rarely Active
Member_467,Staff,8/10,9/10,9/10,16,4,Very Active,Active
Member_468,Staff,10/10,10/10,10/10,59,15,Very Active,Very Active
Member_469,Vice Chair,3/10,1/10,3/10,1,1,Rarely Active,Rarely Active
Member_470,Staff,3/10,1/10,2/10,1,0,Rarely Active,Rarely Active
Member_471,Staff,10/10,10/10,10/10,58,10,Very Active,Very Active
Member_472,Staff,9/10,8/10,9/10,27,9,Active,Active
Member_473,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_474,Vice Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_475,Staff,10/10,10/10,10/10,47,10,Very Active,Very Active
Member_476,Staff,2/10,4/10,2/10,2,1,Inactive,Rarely Active
Member_477,Staff,8/10,8/10,8/10,25,8,Very Active,Active
Member_478,Treasurer,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_479,Secretary,8/10,9/10,9/10,19,5,Very Active,Active
Member_480,Secretary,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_481,Staff,8/10,8/10,8/10,22,5,Active,Active
Member_482,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_483,Division Head,6/10,7/10,4/10,12,1,Rarely Active,Moderate
Member_484,Staff,10/10,10/10,10/10,33,11,Very Active,Very Active
Member_485,Department Head,10/10,10/10,10/10,40,14,Very Active,Very Active
Member_486,Staff,2/10,3/10,3/10,4,1,Inactive,Rarely Active
Member_487,Secretary,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_488,Vice Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_489,Vice Chair,7/10,6/10,6/10,11,3,Active,Moderate
Member_490,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_491,Division Head,10/10,10/10,10/10,60,20,Very Active,Very Active
Member_492,Vice Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_493,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_494,Vice Division Head,8/10,8/10,8/10,20,7,Very Active,Active
Member_495,Division Head,2/10,4/10,4/10,3,1,Inactive,Rarely Active
Member_496,Staff,10/10,10/10,10/10,44,12,Very Active,Very Active
Member_497,Treasurer,10/10,10/10,10/10,56,17,Very Active,Very Active
Member_498,Staff,10/10,10/10,10/10,59,13,Very Active,Very Active
Member_499,Staff,8/10,9/10,9/10,20,10,Very Active,Active
Member_500,Staff,1/10,1/10,3/10,5,0,Inactive,Rarely Active
Member_501,Supervisor,5/10,4/10,6/10,13,1,Rarely Active,Moderate
Member_502,Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_503,Vice Chair,10/10,10/10,10/10,30,14,Very Active,Very Active
Member_504,Staff,10/10,10/10,10/10,38,15,Very Active,Very Active
Member_505,Vice Chair,9/10,9/10,9/10,21,8,Active,Active
Member_506,Deputy Department Head,8/10,7/10,5/10,14,1,Rarely Active,Moderate
Member_507,Vice Division Head,10/10,10/10,10/10,31,17,Very Active,Very Active
Member_508,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_509,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_510,Supervisor,10/10,10/10,10/10,47,11,Very Active,Very Active
Member_511,Staff,3/10,1/10,3/10,2,0,Rarely Active,Rarely Active
Member_512,Vice Division Head,8/10,9/10,8/10,20,5,Active,Active
Member_513,Staff,10/10,10/10,10/10,42,20,Very Active,Very Active
Member_514,Staff,10/10,10/10,10/10,48,15,Very Active,Very Active
Member_515,Staff,10/10,10/10,10/10,44,11,Very Active,Very Active
Member_516,Deputy Department Head,10/10,10/10,10/10,55,18,Very Active,Very Active
Member_517,Division Head,10/10,10/10,10/10,50,17,Very Active,Very Active
Member_518,Supervisor,10/10,10/10,10/10,55,17,Very Active,Very Active
Member_519,Staff,2/10,3/10,3/10,5,0,Rarely Active,Rarely Active
Member_520,Staff,10/10,10/10,10/10,46,15,Very Active,Very Active
Member_521,Secretary,3/10,2/10,3/10,1,1,Rarely Active,Rarely Active
Member_522,Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_523,Staff,6/10,5/10,5/10,8,3,Active,Moderate
Member_524,Supervisor,8/10,7/10,7/10,9,3,Rarely Active,Moderate
Member_525,Deputy Department Head,10/10,10/10,10/10,50,14,Very Active,Very Active
Member_526,Staff,10/10,10/10,10/10,44,10,Very Active,Very Active
Member_527,Staff,9/10,9/10,8/10,20,6,Active,Active
Member_528,Vice Division Head,3/10,3/10,2/10,1,0,Rarely Active,Rarely Active
Member_529,Staff,10/10,10/10,10/10,58,17,Very Active,Very Active
Member_530,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_531,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_532,Staff,4/10,2/10,1/10,2,0,Inactive,Rarely Active
Member_533,Staff,2/10,4/10,4/10,2,0,Inactive,Rarely Active
Member_534,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_535,Staff,10/10,10/10,10/10,52,11,Very Active,Very Active
Member_536,Staff,8/10,8/10,9/10,20,10,Very Active,Active
Member_537,Staff,10/10,10/10,10/10,45,20,Very Active,Very Active
Member_538,Division Head,10/10,10/10,10/10,55,14,Very Active,Very Active
Member_539,Staff,7/10,7/10,7/10,6,2,Rarely Active,Moderate
Member_540,Division Head,8/10,8/10,9/10,28,10,Very Active,Active
Member_541,Staff,10/10,10/10,10/10,58,16,Very Active,Very Active
Member_542,Chair,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_543,Staff,9/10,8/10,8/10,18,3,Active,Active
Member_544,Deputy Department Head,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_545,Staff,10/10,10/10,10/10,47,17,Very Active,Very Active
Member_546,Division Head,10/10,10/10,10/10,37,16,Very Active,Very Active
Member_547,Staff,10/10,10/10,10/10,59,19,Very Active,Very Active
Member_548,Staff,1/10,2/10,4/10,5,0,Rarely Active,Rarely Active
Member_549,Staff,10/10,10/10,10/10,59,20,Very Active,Very Active
Member_550,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_551,Staff,10/10,10/10,10/10,58,16,Very Active,Very Active
Member_552,Staff,2/10,2/10,4/10,2,1,Inactive,Rarely Active
Member_553,Staff,9/10,9/10,8/10,20,8,Active,Active
Member_554,Staff,3/10,4/10,3/10,3,0,Rarely Active,Rarely Active
Member_555,Division Head,10/10,10/10,10/10,58,19,Very Active,Very Active
Member_556,Treasurer,10/10,10/10,10/10,35,20,Very Active,Very Active
Member_557,Vice Division Head,1/10,0/10,0/10,0,0,Inactive,Inactive
Member_558,Deputy Department Head,2/10,2/10,2/10,3,1,Rarely Active,Rarely Active
Member_559,Staff,9/10,8/10,8/10,25,7,Active,Active
Member_560,Division Head,10/10,10/10,10/10,48,14,Very Active,Very Active
Member_561,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_562,Staff,3/10,3/10,2/10,2,1,Inactive,Rarely Active
Member_563,Division Head,10/10,10/10,10/10,46,12,Very Active,Very Active
Member_564,Treasurer,9/10,8/10,8/10,30,8,Very Active,Active
Member_565,Division Head,10/10,10/10,10/10,40,12,Very Active,Very Active
Member_566,Vice Division Head,10/10,10/10,10/10,37,15,Very Active,Very Active
Member_567,Supervisor,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_568,Department Head,4/10,2/10,2/10,5,0,Inactive,Rarely Active
Member_569,Supervisor,7/10,6/10,6/10,9,1,Rarely Active,Moderate
Member_570,Deputy Department Head,9/10,9/10,8/10,18,5,Active,Active
Member_571,Staff,10/10,10/10,10/10,60,17,Very Active,Very Active
Member_572,Supervisor,8/10,9/10,8/10,16,6,Active,Active
Member_573,Staff,4/10,1/10,3/10,4,1,Rarely Active,Rarely Active
Member_574,Secretary,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_575,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_576,Staff,10/10,10/10,10/10,30,18,Very Active,Very Active
Member_577,Division Head,2/10,1/10,3/10,2,0,Inactive,Rarely Active
Member_578,Secretary,8/10,8/10,8/10,17,4,Active,Active
Member_579,Staff,1/10,2/10,2/10,1,0,Rarely Active,Rarely Active
Member_580,Department Head,1/10,0/10,0/10,0,0,Inactive,Inactive
Member_581,Staff,10/10,10/10,10/10,46,15,Very Active,Very Active
Member_582,Staff,4/10,5/10,7/10,5,2,Moderate,Moderate
Member_583,Vice Chair,10/10,10/10,10/10,37,14,Very Active,Very Active
Member_584,Staff,8/10,9/10,9/10,27,4,Active,Active
Member_585,Staff,10/10,10/10,10/10,58,11,Very Active,Very Active
Member_586,Vice Chair,9/10,10/10,9/10,15,6,Very Active,Active
Member_587,Deputy Department Head,9/10,8/10,8/10,25,9,Very Active,Active
Member_588,Treasurer,6/10,6/10,5/10,8,3,Active,Moderate
Member_589,Treasurer,10/10,10/10,10/10,51,13,Very Active,Very Active
Member_590,Staff,1/10,2/10,1/10,1,0,Rarely Active,Rarely Active
Member_591,Supervisor,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_592,Staff,10/10,10/10,10/10,58,14,Very Active,Very Active
Member_593,Supervisor,8/10,9/10,9/10,18,9,Active,Active
Member_594,Staff,8/10,9/10,9/10,30,7,Very Active,Active
Member_595,Staff,10/10,10/10,10/10,60,12,Very Active,Very Active
Member_596,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_597,Supervisor,0/10,0/10,1/10,0,0,Inactive,Inactive
Member_598,Supervisor,7/10,7/10,6/10,13,1,Moderate,Moderate
Member_599,Supervisor,10/10,10/10,10/10,40,20,Very Active,Very Active
Member_600,Staff,2/10,3/10,2/10,2,1,Rarely Active,Rarely Active
Member_601,Vice Division Head,10/10,10/10,10/10,35,19,Very Active,Very Active
Member_602,Staff,8/10,9/10,8/10,19,6,Very Active,Active
Member_603,Supervisor,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_604,Secretary,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_605,Deputy Department Head,1/10,0/10,0/10,0,0,Inactive,Inactive
Member_606,Division Head,10/10,10/10,10/10,40,15,Very Active,Very Active
Member_607,Vice Division Head,10/10,10/10,10/10,55,13,Very Active,Very Active
Member_608,Staff,10/10,10/10,10/10,39,13,Very Active,Very Active
Member_609,Staff,8/10,8/10,9/10,20,9,Active,Active
Member_610,Staff,10/10,10/10,10/10,36,11,Very Active,Very Active
Member_611,Staff,2/10,4/10,4/10,4,1,Inactive,Rarely Active
Member_612,Staff,10/10,10/10,10/10,42,20,Very Active,Very Active
Member_613,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_614,Staff,3/10,2/10,1/10,2,0,Inactive,Rarely Active
Member_615,Vice Chair,1/10,4/10,2/10,5,1,Inactive,Rarely Active
Member_616,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_617,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_618,Staff,10/10,10/10,10/10,33,14,Very Active,Very Active
Member_619,Secretary,10/10,10/10,10/10,41,16,Very Active,Very Active
Member_620,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_621,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_622,Staff,10/10,10/10,10/10,55,13,Very Active,Very Active
Member_623,Staff,4/10,1/10,1/10,4,1,Rarely Active,Rarely Active
Member_624,Staff,10/10,10/10,10/10,58,18,Very Active,Very Active
Member_625,Staff,3/10,2/10,3/10,4,0,Inactive,Rarely Active
Member_626,Staff,4/10,4/10,1/10,5,1,Rarely Active,Rarely Active
Member_627,Staff,10/10,10/10,10/10,35,11,Very Active,Very Active
Member_628,Vice Chair,10/10,10/10,10/10,55,12,Very Active,Very Active
Member_629,Staff,9/10,9/10,9/10,21,5,Very Active,Active
Member_630,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_631,Staff,10/10,10/10,10/10,57,10,Very Active,Very Active
Member_632,Secretary,2/10,3/10,2/10,3,1,Rarely Active,Rarely Active
Member_633,Secretary,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_634,Supervisor,9/10,9/10,8/10,27,10,Very Active,Active
Member_635,Staff,2/10,3/10,3/10,4,1,Rarely Active,Rarely Active
Member_636,Secretary,10/10,10/10,10/10,56,16,Very Active,Very Active
Member_637,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_638,Staff,3/10,2/10,1/10,4,0,Inactive,Rarely Active
Member_639,Supervisor,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_640,Staff,2/10,3/10,4/10,5,1,Inactive,Rarely Active
Member_641,Staff,10/10,10/10,10/10,46,14,Very Active,Very Active
Member_642,Division Head,6/10,6/10,7/10,9,1,Active,Moderate
Member_643,Staff,2/10,3/10,2/10,5,0,Inactive,Rarely Active
Member_644,Division Head,10/10,10/10,10/10,55,15,Very Active,Very Active
Member_645,Staff,9/10,8/10,8/10,22,8,Very Active,Active
Member_646,Supervisor,9/10,9/10,8/10,20,4,Active,Active
Member_647,Deputy Department Head,10/10,10/10,10/10,52,17,Very Active,Very Active
Member_648,Staff,6/10,6/10,6/10,9,3,Moderate,Moderate
Member_649,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_650,Staff,7/10,5/10,5/10,8,2,Active,Moderate
Member_651,Vice Division Head,6/10,4/10,4/10,8,2,Active,Moderate
Member_652,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_653,Deputy Department Head,10/10,10/10,10/10,51,14,Very Active,Very Active
Member_654,Supervisor,10/10,10/10,10/10,60,14,Very Active,Very Active
Member_655,Vice Division Head,0/10,1/10,0/10,0,0,Inactive,Inactive
Member_656,Staff,10/10,10/10,10/10,49,11,Very Active,Very Active
Member_657,Staff,4/10,3/10,3/10,2,1,Inactive,Rarely Active
Member_658,Deputy Department Head,10/10,10/10,10/10,59,20,Very Active,Very Active
Member_659,Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_660,Staff,1/10,3/10,2/10,1,0,Rarely Active,Rarely Active
Member_661,Staff,10/10,10/10,10/10,56,10,Very Active,Very Active
Member_662,Division Head,10/10,10/10,10/10,39,14,Very Active,Very Active
Member_663,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_664,Vice Division Head,10/10,10/10,10/10,56,20,Very Active,Very Active
Member_665,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_666,Staff,8/10,8/10,8/10,30,5,Active,Active
Member_667,Staff,3/10,3/10,1/10,4,1,Inactive,Rarely Active
Member_668,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_669,Staff,2/10,2/10,1/10,1,0,Inactive,Rarely Active
Member_670,Staff,4/10,3/10,1/10,3,1,Rarely Active,Rarely Active
Member_671,Deputy Department Head,3/10,4/10,2/10,5,1,Rarely Active,Rarely Active
Member_672,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_673,Division Head,3/10,1/10,2/10,4,0,Inactive,Rarely Active
Member_674,Treasurer,10/10,10/10,10/10,39,18,Very Active,Very Active
Member_675,Staff,3/10,2/10,4/10,2,1,Rarely Active,Rarely Active
Member_676,Staff,3/10,3/10,1/10,4,1,Rarely Active,Rarely Active
Member_677,Supervisor,1/10,0/10,0/10,0,0,Inactive,Inactive
Member_678,Secretary,2/10,1/10,4/10,1,0,Rarely Active,Rarely Active
Member_679,Department Head,10/10,10/10,10/10,57,11,Very Active,Very Active
Member_680,Vice Division Head,10/10,10/10,10/10,43,16,Very Active,Very Active
Member_681,Division Head,10/10,10/10,10/10,52,11,Very Active,Very Active
Member_682,Secretary,10/10,10/10,10/10,55,20,Very Active,Very Active
Member_683,Staff,1/10,1/10,2/10,4,0,Inactive,Rarely Active
Member_684,Staff,10/10,10/10,10/10,51,16,Very Active,Very Active
Member_685,Vice Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_686,Deputy Department Head,10/10,10/10,10/10,47,14,Very Active,Very Active
Member_687,Supervisor,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_688,Staff,10/10,10/10,10/10,36,16,Very Active,Very Active
Member_689,Staff,10/10,10/10,10/10,54,17,Very Active,Very Active
Member_690,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_691,Staff,9/10,8/10,8/10,25,5,Active,Active
Member_692,Staff,3/10,2/10,4/10,5,1,Inactive,Rarely Active
Member_693,Department Head,10/10,10/10,10/10,59,20,Very Active,Very Active
Member_694,Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_695,Department Head,10/10,10/10,10/10,38,19,Very Active,Very Active
Member_696,Staff,10/10,10/10,10/10,47,16,Very Active,Very Active
Member_697,Staff,2/10,2/10,1/10,1,0,Rarely Active,Rarely Active
Member_698,Supervisor,10/10,10/10,10/10,50,19,Very Active,Very Active
Member_699,Staff,3/10,2/10,1/10,1,0,Rarely Active,Rarely Active
Member_700,Supervisor,10/10,10/10,10/10,57,11,Very Active,Very Active
Member_701,Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_702,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_703,Supervisor,8/10,9/10,8/10,18,4,Very Active,Active
Member_704,Vice Division Head,10/10,10/10,10/10,41,19,Very Active,Very Active
Member_705,Vice Division Head,0/10,0/10,1/10,0,0,Inactive,Inactive
Member_706,Division Head,7/10,7/10,7/10,8,2,Active,Moderate
Member_707,Staff,3/10,2/10,2/10,5,1,Rarely Active,Rarely Active
Member_708,Staff,10/10,10/10,10/10,42,19,Very Active,Very Active
Member_709,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_710,Vice Chair,10/10,10/10,10/10,36,14,Very Active,Very Active
Member_711,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_712,Supervisor,8/10,8/10,8/10,21,5,Very Active,Active
Member_713,Supervisor,4/10,3/10,3/10,5,0,Inactive,Rarely Active
Member_714,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_715,Supervisor,3/10,3/10,2/10,2,1,Inactive,Rarely Active
Member_716,Secretary,5/10,4/10,5/10,8,2,Moderate,Moderate
Member_717,Supervisor,10/10,10/10,10/10,46,10,Very Active,Very Active
Member_718,Department Head,10/10,10/10,10/10,46,14,Very Active,Very Active
Member_719,Vice Division Head,2/10,1/10,2/10,2,1,Inactive,Rarely Active
Member_720,Staff,8/10,8/10,8/10,16,10,Very Active,Active
Member_721,Staff,10/10,10/10,10/10,46,18,Very Active,Very Active
Member_722,Supervisor,3/10,1/10,2/10,3,0,Rarely Active,Rarely Active
Member_723,Staff,3/10,2/10,2/10,2,0,Inactive,Rarely Active
Member_724,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_725,Deputy Department Head,10/10,10/10,10/10,60,11,Very Active,Very Active
Member_726,Vice Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_727,Department Head,10/10,10/10,10/10,46,18,Very Active,Very Active
Member_728,Staff,5/10,7/10,6/10,10,1,Rarely Active,Moderate
Member_729,Deputy Department Head,10/10,10/10,10/10,57,12,Very Active,Very Active
Member_730,Staff,2/10,2/10,2/10,2,1,Rarely Active,Rarely Active
Member_731,Staff,10/10,10/10,10/10,53,18,Very Active,Very Active
Member_732,Treasurer,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_733,Staff,4/10,2/10,4/10,3,0,Rarely Active,Rarely Active
Member_734,Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_735,Staff,2/10,2/10,1/10,2,1,Inactive,Rarely Active
Member_736,Supervisor,10/10,10/10,10/10,43,15,Very Active,Very Active
Member_737,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_738,Department Head,2/10,3/10,2/10,1,1,Inactive,Rarely Active
Member_739,Deputy Department Head,0/10,0/10,1/10,0,0,Inactive,Inactive
Member_740,Division Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_741,Staff,2/10,2/10,3/10,3,0,Inactive,Rarely Active
Member_742,Vice Division Head,2/10,3/10,3/10,3,1,Inactive,Rarely Active
Member_743,Vice Chair,10/10,10/10,10/10,50,17,Very Active,Very Active
Member_744,Department Head,10/10,10/10,10/10,46,14,Very Active,Very Active
Member_745,Vice Division Head,3/10,3/10,3/10,3,0,Inactive,Rarely Active
Member_746,Deputy Department Head,10/10,10/10,10/10,43,17,Very Active,Very Active
Member_747,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_748,Division Head,3/10,4/10,1/10,5,1,Inactive,Rarely Active
Member_749,Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_750,Staff,8/10,8/10,8/10,19,5,Very Active,Active
Member_751,Division Head,10/10,10/10,10/10,30,15,Very Active,Very Active
Member_752,Staff,5/10,5/10,7/10,9,3,Rarely Active,Moderate
Member_753,Staff,8/10,9/10,9/10,24,6,Active,Active
Member_754,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_755,Staff,2/10,1/10,1/10,5,1,Inactive,Rarely Active
Member_756,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_757,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_758,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_759,Deputy Department Head,0/10,1/10,1/10,0,0,Inactive,Inactive
Member_760,Supervisor,10/10,10/10,10/10,47,19,Very Active,Very Active
Member_761,Treasurer,0/10,0/10,1/10,0,0,Inactive,Inactive
Member_762,Staff,4/10,6/10,4/10,13,2,Rarely Active,Moderate
Member_763,Staff,4/10,2/10,3/10,4,1,Inactive,Rarely Active
Member_764,Department Head,9/10,10/10,9/10,27,6,Active,Active
Member_765,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_766,Staff,7/10,7/10,6/10,13,1,Rarely Active,Moderate
Member_767,Staff,2/10,2/10,4/10,4,1,Rarely Active,Rarely Active
